Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Flensburg, Stadt;1001000;Flensburg, Stadt;10010000.0
Kiel, Landeshauptstadt;1002000;Kiel, Landeshauptstadt;10020000.0
Lübeck, Hansestadt;1003000;Lübeck, Hansestadt;10030000.0
Neumünster, Stadt;1004000;Neumünster, Stadt;10040000.0
Albersdorf;1051001;Mitteldithmarschen;10515175.0
Arkebek;1051002;Mitteldithmarschen;10515175.0
Averlak;1051003;Burg-St. Michaelisdonn;10515163.0
Bargenstedt;1051004;Mitteldithmarschen;10515175.0
Barkenholm;1051005;Eider;10515169.0
Barlt;1051006;Mitteldithmarschen;10515175.0
Bergewöhrden;1051008;Eider;10515169.0
Brickeln;1051010;Burg-St. Michaelisdonn;10515163.0
Brunsbüttel, Stadt;1051011;Brunsbüttel, Stadt;10510011.0
Buchholz;1051012;Burg-St. Michaelisdonn;10515163.0
Büsum;1051013;Büsum-Wesselburen;10515178.0
Büsumer Deichhausen;1051014;Büsum-Wesselburen;10515178.0
Bunsoh;1051015;Mitteldithmarschen;10515175.0
Burg (Dithmarschen);1051016;Burg-St. Michaelisdonn;10515163.0
Busenwurth;1051017;Mitteldithmarschen;10515175.0
Dellstedt;1051019;Eider;10515169.0
Delve;1051020;Eider;10515169.0
Diekhusen-Fahrstedt;1051021;Marne-Nordsee;10515166.0
Dingen;1051022;Burg-St. Michaelisdonn;10515163.0
Dörpling;1051023;Eider;10515169.0
Eddelak;1051024;Burg-St. Michaelisdonn;10515163.0
Eggstedt;1051026;Burg-St. Michaelisdonn;10515163.0
Elpersbüttel;1051027;Mitteldithmarschen;10515175.0
Epenwöhrden;1051028;Mitteldithmarschen;10515175.0
Fedderingen;1051030;Eider;10515169.0
Frestedt;1051032;Burg-St. Michaelisdonn;10515163.0
Friedrichsgabekoog;1051033;Büsum-Wesselburen;10515178.0
Friedrichskoog;1051034;Marne-Nordsee;10515166.0
Gaushorn;1051035;Eider;10515169.0
Glüsing;1051036;Eider;10515169.0
Großenrade;1051037;Burg-St. Michaelisdonn;10515163.0
Groven;1051038;Eider;10515169.0
Gudendorf;1051039;Mitteldithmarschen;10515175.0
Hedwigenkoog;1051043;Büsum-Wesselburen;10515178.0
Heide, Stadt;1051044;Heide, Stadt;10510044.0
Hellschen-Heringsand-Unterschaar;1051045;Büsum-Wesselburen;10515178.0
Helse;1051046;Marne-Nordsee;10515166.0
Hemme;1051047;Eider;10515169.0
Hemmingstedt;1051048;Heider Umland;10515172.0
Hennstedt;1051049;Eider;10515169.0
Hillgroven;1051050;Büsum-Wesselburen;10515178.0
Hochdonn;1051051;Burg-St. Michaelisdonn;10515163.0
Hövede;1051052;Eider;10515169.0
Hollingstedt;1051053;Eider;10515169.0
Immenstedt;1051054;Mitteldithmarschen;10515175.0
Kaiser-Wilhelm-Koog;1051057;Marne-Nordsee;10515166.0
Karolinenkoog;1051058;Eider;10515169.0
Kleve;1051060;Eider;10515169.0
Krempel;1051061;Eider;10515169.0
Kronprinzenkoog;1051062;Marne-Nordsee;10515166.0
Krumstedt;1051063;Mitteldithmarschen;10515175.0
Kuden;1051064;Burg-St. Michaelisdonn;10515163.0
Lehe;1051065;Eider;10515169.0
Lieth;1051067;Heider Umland;10515172.0
Linden;1051068;Eider;10515169.0
Lohe-Rickelshof;1051069;Heider Umland;10515172.0
Lunden;1051071;Eider;10515169.0
Marne, Stadt;1051072;Marne-Nordsee;10515166.0
Marnerdeich;1051073;Marne-Nordsee;10515166.0
Meldorf, Stadt;1051074;Mitteldithmarschen;10515175.0
Neuenkirchen;1051075;Heider Umland;10515172.0
